"unique_key","Entity","etr_24m","application_total_12M","application_total_24M","max_amount_approved_12M","PF_TOTAL_OS_12","ALL_PROD_STATWPRT3","UNSEC_TOTAL_LIMIT_12","CC_AVG_MIAGE1_OS_24","PL_MONS_INC_BALANCE_GE1_3M","AF_MONS_INC_BALANCE_GE1_3M","SEC_TOTAL_MIAGE1_OS_24","ALL_MIN_MIAGE1_OS_12","AF_MAX_MIAGE1_OS_6","UNSEC_AVG_MIAGE1_OS_12","AF_AVG_BALANCE_GE1_DEC_24M","PL_AVG_MIAGE1_OS_1","SEC_MIA_GE1_24","MIA1_ALLPROD_STATOK24","MIA1_ALLPROD_STATOK6","MIA1FACILITY_TYPE6","ALL_AVG_BALANCE_ALL_DEC_6M","ALL_AVG_BALANCE_ALL_INC_6M","PERC_MIA_TOTOS_M6TO24","PF_MONS_INC_BALANCE_ALL_6M","CC_PROD_ALLSTAT24","PL_PROD_ALLSTAT3","AF_PROD_ALLSTAT3","SEC_PROD_ALLSTAT24","ALL_PROD_ALLSTAT12","AF_PROD_ALLSTAT6","UNSEC_PROD_ALLSTAT12","AF_PROD_ALLSTAT24","PL_PROD_ALLSTAT1","ALL_PROD_STATOK24","ALL_PROD_ALLSTAT6","enq12ctos"
"731016065044","2579342","","1","12","","","","168000","","","","33990","16459","","","-3241","","2","1","","","-2693.333333","40582","","","4","","","4","6","","2","1","","8","5","1"
"731017025503","7048187","","10","17","21350","3372437","","3954000","","","","","6601","","6658.666667","-5487.5","","0","1","","","-7411","","","","1","3","1","13","15","1","4","1","3","19","11","1"
"731018075510","1936304","","","","","","","360000","31594.5","","","","","","","","","0","1","","","-9121.5","2779","","","1","","","1","2","","1","","","2","2","2"
"731018105564","1936358","","","","","10193574","","13405200","15395.66667","","2","","13735","","15546","-9257.5","","0","1","","","-8272","","","1","4","","1","2","7","1","5","1","","7","7","2"
"731018715012","9009916","","4","9","7060","2583545","","3278232","","1","","","88280","","88714","-892.125","","0","1","1","PELNFNCE","-4477.25","8551","0.015257782","2","3","3","1","7","12","1","6","1","3","14","12","0"
"731021055203","1936827","","1","1","","3309977","","3840000","7537.555556","","","198701","6956","","7431.428571","-756.2","","3","2","1","CRDTCARD","-2208.8","","0.000836921","","1","3","1","1","5","1","4","1","3","5","5","1"
"731022025743","9257051","","","","","","","","","","","","","","","","","0","","","","-597.8","","","","","","","1","1","","","","","1","1","0"
"731022135045","934221","","","5","","4754479","","5830824","","","","","","","","","","0","","","","-3767","991.5","","","2","2","","1","6","","6","1","2","6","6","0"
"731028135951","6198025","","2","2","70000","2075170","","2972436","4729.875","","2","172773","207","","1524","-800.1428571","","2","5","1","CRDTCARD","-192.5","14117","3.09E-05","3","6","2","1","1","11","1","10","1","2","11","11","3"
"731030115175","7153398","","","4","","","","72000","","","","","","","","","","0","","","","-973.75","145","","","2","","","3","4","","1","","","4","4","1"
"731102145040","13510447","","3","4","","","1","24000","0","","","","","","","","","0","","","","","","","","3","","","","2","","2","","","","1","2"
"731103055442","7195662","","","","","","","876000","","","","","","","","-1670.454545","","0","","","","-2905.75","1192","","","3","","2","3","6","2","3","2","","6","6","1"
"731103055469","1939198","","","3","","4784402","","5663424","","","","","","","","-1455.842105","","0","","","","-4586","","","","3","","2","2","9","2","7","2","","9","9","1"
"731105135315","6453686","","","","","847850","","1358400","","1","1","","","","","-711.7222222","","0","","","","-925.2","","","1","1","1","1","1","3","1","2","1","1","3","3","1"
"731107075352","11241507","","","","","","1","510000","19242.21739","","","1164193","0","","14950.41667","-2217","","13","8","1","CRDTCARD","-2365.8","","0.011669712","","4","","4","5","9","4","4","4","","9","9","1"
"731107115051","1940028","","2","2","25000","185224","","1364000","","","","0","","","","","","1","","","","-1822.4","","","","2","1","1","3","4","1","2","2","1","5","4","1"
"731109135283","12941539","","2","4","","213812","","405000","","","2","","","","","-527.3","","0","","","","-91.66666667","40.5","","","3","1","1","2","7","1","5","1","1","6","5","2"
"731111035572","6719569","","4","7","","5227790","","5663488","1287","2","","","1287","","1287","-9893.5","","0","1","1","CRDTCARD","-712","1304.5","0.000138675","4","4","2","","1","7","","6","1","2","7","4","3"
"731112015709","1940733","","","1","","885857","","1260000","","","","","","","","-986.1875","","0","","","","-1265.75","630","","","1","1","3","3","5","3","2","3","1","4","5","0"
"731112026192","31836945","","","","","","","","","","","","","","","","","0","","","","","","","","","","","1","","","","","","1","","0"
"731114105011","1941180","","","","","","","511200","","","1","","","","","-2869.8125","","0","","","","-2846.2","","","","2","","2","2","4","2","2","2","","4","3","0"
"731115105574","2565179","","","2","","","","2136000","","","","","","","","-2146.058824","","0","","","","-24827","25136.75","","","4","","1","3","6","1","3","1","","7","6","2"
"731117086071","9242698","","6","6","","925963","","1482840","9725.25","","","450189","38708","","38708","-1820.5625","","3","6","","","-3680","","","","3","1","4","6","10","4","5","4","1","10","10","3"
"731118135613","1941889","","4","10","68490","4613834","","4896000","","","","322511","78764","82486","","-1234.636364","","4","1","1","PCPASCAR","-2054.5","64295","0.028862013","1","1","2","1","3","5","1","3","1","2","8","5","1"
"731121035234","6947201","","","2","","","","","","","","","","","","-871.2222222","","0","","","","-2144.5","106","","","","","2","3","3","2","","2","","3","3","1"
"731123015704","2563803","","1","3","2000","","","102000","4043","","","7905347","27370","27891","","-861.5833333","","21","3","2","HSLNFNCE","-2490","","0.199386824","","3","","1","2","5","1","3","1","","5","5","1"
"731127125839","2713184","","","","","562","2","448292","","","","3573644","149190","","","","","24","","","HSLNFNCE","-492.25","126","0.20606624","","2","1","","2","6","","4","","1","4","5","1"
"731129015342","1943620","","1","1","50000","992092","","1665490","","","","","","","","-348.8571429","","0","","","","-1203.8","","","","3","","1","2","6","1","4","1","","7","5","0"
"731203145269","1944392","","","1","","327558","","672000","","","1","","","","","-382.4705882","","0","1","","","-1502.8","","","1","","1","1","3","4","1","1","1","1","4","4","0"
"731203145509","937396","","3","7","48000","380360","","846000","","","","234215","43960","","","-1051.076923","","5","1","","","-5188","1411","","","2","1","2","3","6","2","3","2","1","5","6","3"
"731205105412","1944665","","1","4","10000","","","204000","","","","","","","","","","0","","","","-1595.666667","1657","","","2","","","","2","","2","","","2","2","0"
"731206136093","8325200","","","2","","2332626","1","3519768","","","","","0","","0","","","0","","","OTLNFNCE","-1383.6","","0","","","1","","1","4","","3","","1","3","3","1"
"731207025520","7123890","","14","25","999500","379105","","660000","358","","","","193","","193","","","0","2","","","-6415.6","","","","3","1","","3","6","","3","","1","7","6","2"
"731209095071","1945303","","1","1","","","","126000","","","1","","","","","-1703.75","","0","","","","-2119.8","","","","2","","2","3","5","2","2","2","","5","5","1"
"731212075047","1945739","","2","2","15000","99461","","186714","","","","","","","","","","0","","","","-954.8","","","","","1","","1","3","","2","","1","3","2","2"
"731212135484","12843019","","1","1","104800","","","","","","","","","","","-1033.352941","","0","","","","-788.2","","","","","","2","2","2","2","","2","","2","2","0"
"731213035610","10377842","","3","3","410793","543714","","754092","","","","","","","","","","0","","","","-2826.6","","","","","","","2","3","","1","","","3","3","3"
"731215015330","54632","","3","6","20000","2063540","","2240000","","","","40736","40736","40736","","-353.8181818","","1","1","1","PCPASCAR","-1566.2","","0.008309279","","1","1","1","2","3","1","2","1","1","4","3","3"
"731217025858","22065621","","","","","1146003","","1200000","","","","","","","","","","0","","","","-1099","669.3333333","","3","","","","1","2","","1","","","2","2","1"
"731217086335","1946549","","","","","","","316800","","","","","","","","-709.1176471","","0","","","","-1596.8","","","","1","","1","2","3","1","1","1","","3","3","3"
"731218025075","2571561","","","11","","18217426","","20292000","30892","","1","943632","217894","","","-6880.230769","","4","4","","","-39465.66667","63727.5","","1","2","","1","2","6","1","4","1","","6","6","2"
"731219065167","63633","","","6","","","","240000","","","1","","","","","-794.3333333","","0","","","","-17671.75","1161","","","1","","1","5","6","1","1","1","","6","6","1"
"731220065033","2575933","","","2","","","","144000","7227.166667","","","888228","37031","","","","","24","2","1","HSLNFNCE","-387.8","","0.220974739","","1","","","1","2","","1","","","2","2","1"
"731220075266","19360979","","","","","","","","","","","0","","","","","","7","","","","","","","","","","","1","","","","1","","","","1"
"731221145158","1947178","","","","","","","540000","15207.5","","","","6382","","15207.5","","","0","1","1","CRDTCARD","-7187","3704.5","0.064636462","","3","","","","1","","1","","","3","1","1"
"731223085363","1947439","","","1","","","","72000","","","","132817","404","2404","","-860.4375","","17","2","2","HSLNFNCE","-936.5","1096","0.03560518","","1","","1","2","3","1","1","1","","3","3","2"
"731224125398","25961177","","","","","375230","1","468000","","","","0","0","0","","","","24","","","PCPASCAR","-155.8","","0","","","1","1","1","2","1","1","1","1","1","2","0"
"731225095004","17447813","","2","6","5000","2869652","","3210800","2874.375","","","","","","","","","0","1","","","-460.25","1249","","1","1","4","","","5","","5","","4","6","4","0"
"731226025534","2566171","","","3","","921959","","1576788","","","","","","","","-1077.545455","","0","","","","-1902.8","","","","3","2","2","3","7","2","5","2","2","8","7","2"
"731226145296","6173999","","","1","","217802","1","619332","5690.428571","","","710236","9057","","10396.5","-911.3571429","","12","7","1","OTLNFNCE","","12.4","0.022105124","5","3","1","1","3","7","1","5","2","1","8","7","1"
"731226145667","1947931","","3","11","17990","1297203","","1626389","","","","","","","","-367","","0","","","","-2222.5","289","","1","","2","1","10","9","1","3","1","2","13","6","3"
"731231035083","2570745","","","1","","1037040","","1878000","","","","","","","","","","0","","","","-702.75","3953","","","4","1","","","5","","5","","1","5","5","0"
"740101028912","11076124","","","","","","1","","","","","","","","","","","0","","","","","","","","","","1","1","1","1","","1","","","1","2"
"740101088819","10243065","","","","","790954","","1549280","13387","","","573485","13387","","13387","-1214.357143","","10","2","1","HSLNFNCE","-2800","","0.045844944","","3","4","1","2","9","1","7","1","4","9","8","2"
"740102106329","1949156","","1","2","","","","690000","12312","","","","2490","","2780.75","-2514.944444","","0","1","1","CRDTCARD","-12659","559","0.008042919","","1","","1","1","2","1","1","1","","2","2","1"
"740103095027","8815318","","5","7","120000","2990049","","2989200","","","1","469997","5453","119268","6045.416667","-1388.833333","","4","2","2","PCPASCAR","-2460.2","","0.057331867","","","2","1","1","4","1","3","1","2","4","4","0"
"740104015017","2564087","","","","","1388059","","4650000","","","","","","","","-2722.866667","","0","","","","-4919","9016","","","3","1","2","4","9","2","5","2","1","9","9","0"
"740104035990","2566663","","1","2","20000","","","1154000","","","","","","","","-1263.26087","","0","","","","-3128.666667","2075","","","9","","1","5","8","1","5","1","","13","6","1"
"740104125523","1949550","","","","","139308","1","1028172","12907.27273","","","3020052","11073","","17950.4","","","12","6","4","HSLNFNCE","-781","1424.25","0.085059994","5","3","","","2","6","","4","","","6","6","0"
"740105025508","2571999","","","","","136803","5","445080","0","2","","","11318","","11400.25","","11478","0","","","PELNFNCE","","13.8","0.253065512","5","5","1","","","5","","5","","1","","5","1"
"740106015643","9073173","","","1","","43367","","180000","","","","","","","","","","0","","","","-698.2","","","","","1","","2","3","","1","","1","3","3","1"
"740106115812","1949865","","4","4","26000","2186796","","2574400","6264","1","1","108924","4312","6528","6264","-1553.421053","","8","2","1","PCPASCAR","-2332.333333","40287.5","0.001382864","3","2","2","3","4","8","3","4","3","2","8","8","0"
"740107016285","2564077","","1","1","293000","","","978000","","","","","","","","-1488.368421","","0","","","","-14669.33333","6535","","","3","","1","3","6","2","3","2","","6","6","2"
"740108036229","9437838","","2","2","27000","724981","","842000","","1","","53269","","","","","","1","1","","","-621.6666667","9326","","3","","2","1","2","5","1","3","1","2","4","5","0"
"740108085055","8294777","","","","","","1","100000","6888.5","","","805049","0","","11480.83333","","","10","2","1","CRDTCARD","-9074","265.5","0.013109004","","4","","","1","3","","2","","","2","3","0"
"740109145654","1950398","","3","5","9150","558767","","852000","","2","","8250","2028","","","-379","","4","1","","","-10024","16478.66667","","5","1","1","1","5","7","1","2","1","1","7","6","2"
"740110675046","20153544","","2","3","48900","","","","","","","","","","","-3476.25","","0","","","","-1428.4","","","","1","","2","3","3","2","","3","","4","2","1"
"740111115139","940016","","1","3","","","","192001","13421","","","239201","","","","-5694.235294","","3","2","","","-3943.75","1547","","","3","","1","5","7","1","3","2","","10","7","2"
"740112125275","19009347","","1","2","","828589","","1200000","","","","","","","","-391.2272727","","0","","","","-991.6","","","","","3","1","1","4","1","3","1","3","4","4","1"
"740112145671","1950867","","","","","","","","0","","","","","","","","","0","","","","","","","","1","","","","","","","","","","","0"
"740114086193","2569463","","","","","","","60000","4809.75","","","343997","4235","","4743.75","-1420.333333","","3","2","1","CRDTCARD","-1475","531.3333333","0.003369365","","1","","1","2","3","1","1","1","","3","3","0"
"740120026103","2571955","","1","2","","166509","","249156","","","","","","","","-954.5625","","0","","","","-1480.6","","","","","","2","3","4","2","1","2","","4","4","1"
"740121026025","1952062","","","1","","","","","","","","","","","","-648.7894737","","0","","","","-683.2","","","","","","1","4","4","1","","1","","4","4","1"
"740121125365","15697422","","","2","","2755992","","3213192","","","","0","","","","","","4","","","","-1139.5","204.3333333","","3","","1","","2","4","","3","1","1","4","4","1"
"740125016035","11148539","","","","","","","","","","","1755445","21588","","","","","17","2","","","-355.5","709","","","","","","2","2","","","","","2","2","0"
"740126135503","2751709","","","2","","235225","","336000","7987.714286","","","","7401","","7401","","","0","1","1","CRDTCARD","-1562","","0.007841621","","1","","","1","3","","2","","","3","3","2"
"740127145308","1953058","","","","","12561","1","144000","","","","14010","1401","1401","","","","10","","","PCPASCAR","-4187","4187","0.316359941","1","","1","1","1","2","1","1","1","1","","2","0"
"740128055507","1953142","","3","4","2799","2318376","","3844640","","1","","","","","","","","0","","","","-2207","491","","1","2","4","","","9","","9","","4","8","7","3"
"740129055242","2580764","","1","2","","","","626400","4388.583333","","","364155","3968","","3882","-870.8125","","2","2","2","HSLNFNCE","-685","1805.333333","0.06045613","","6","","1","2","8","1","6","1","","8","8","5"
"740130105462","2576169","","2","2","240000","","","79000","4006","","","2464729","1323","","1323","-2050","","9","2","","","-1477.5","235687","","","2","","1","3","5","1","2","1","","4","5","1"
"740131025114","1953557","","3","6","","1720929","","3088500","","1","1","27747","27747","","","-1639.357143","","1","1","","","-3585.75","802","","1","2","4","2","3","7","2","4","2","4","9","7","2"
"740131085010","10193461","","","8","","124","","717528","","","","","","","","","","0","","","","-17524","851","","","3","","","2","5","","4","","","7","4","0"
"740201026252","29060031","","","","","351360","","277248","","","","","29280","","29280","","","0","1","1","OTLNFNCE","","","0.25","","","","","","1","","1","","","1","1","1"
"740201055002","12854366","","3","4","85000","830","","56030","25","","","47243","25","","25","-949.4285714","","8","3","","","-1629","20565.5","","","1","","2","5","6","2","2","2","","7","5","3"
"740201065278","15610731","","","","","1226445","","1320000","1868.888889","","","1268458","48290","53537","1088","-2869.7","","21","3","1","PCPASCAR","-1865.25","86","0.076661447","","3","2","1","1","5","1","4","1","2","6","5","1"
"740202145579","1954024","","3","5","","","","3600000","203605","","","","","","","-3607.588235","","0","1","","","-28978.66667","39159.5","","","2","","1","2","4","1","2","1","","4","4","18"
"740204016033","1954200","","","1","","475172","","805800","","","","","","","","-2235.736842","","0","","","","-2167.6","","","","1","","1","3","4","1","2","2","","5","4","0"
"740204075367","2577324","","","","","","","","","","","","","","","-1535.944444","","0","","","","-1599.4","","","","","","1","1","1","1","","1","","1","1","2"
"740205065419","6719939","","1","2","","","","","","","","530317","","","","","","6","1","","","-225.8","","","","","","","1","1","","","","","1","1","0"
"740206035262","2576471","","3","4","30000","1696242","","2148900","3.5","","","","","","","","","0","1","","","-660.6666667","58165","","1","2","2","","2","7","","5","","2","7","7","1"
"740206085980","19317772","","","","","294195","","678000","","","","","","","","-434.7777778","","0","","","","-1125.5","160","","","1","1","1","1","4","1","3","1","1","4","4","0"
"740206105099","2577676","","","8","","311636","","1075390","","","","","","","","","","0","1","","","-749.4","","","","1","","","3","8","","5","","","8","3","1"
"740208085925","1954878","","","6","","241753","","1307400","","","","","569","","620","-1252.545455","","0","1","1","PELNFNCE","-3121","","0.000194296","2","2","","1","2","5","1","3","1","","6","5","0"
"740209115241","2924516","","","11","","2400845","","3307000","","","1","1191204","71232","292205","","-2597.4","","10","5","4","PCPASCAR","-8463.5","112","0.072159944","","1","1","2","5","7","2","3","2","1","8","6","0"
"740209145758","1955083","","5","9","","3522070","","5506236","","","","","","","","-1409.590909","","0","","","","-8394","4932.5","","","3","1","1","4","7","1","5","2","1","11","7","3"
"740212135761","20140715","","1","2","","1010126","","1920000","","","","","","","","-1027.65","","0","","","","-2882.75","299","","1","2","1","2","2","5","2","3","2","1","5","5","0"
"740214015368","9144173","","","7","","1111964","","1896072","","","","84097","93093","","93393","","","9","2","","","-512.25","11","","","","","","8","9","","3","","","8","6","1"
"740216045384","1956090","","","","","182038","","2066088","","","","","","","","","","0","","","","-1115","","","","","","","","1","","1","","","2","1","1"
"740216105578","1956156","","","","","","","216000","","","","","","","","","","0","","","","","434","","","1","","","","1","","1","","","1","1","2"
"740218016528","1956374","","17","28","10383","579956","","720000","32206.5","","","","","","","-778.6666667","","0","2","","","-1567.8","","","1","2","1","3","4","6","3","2","3","1","5","6","11"
"740218045089","942478","","7","7","6600","708631","","1981448","","","1","741474","17201","92766","17201","-1558.444444","","8","2","1","PCPASCAR","-3818","1150","0.023289217","2","2","2","1","5","9","1","4","1","2","9","6","1"
"740219055182","19373979","","","","","5936363","","6729960","","","","","","","","","","0","","","","-1660.4","","","","1","","","","4","","4","","","4","4","0"
"740219105725","9072949","","","1","","845929","","1248000","","","","","","","","-274.4736842","","0","","","","-550.4","","","2","","1","2","4","6","2","2","2","1","5","6","0"
"740220045328","11240187","","","","","421877","","1066800","","","","","","","","","","0","","","","-797.2","","","","1","2","","1","4","","3","","2","4","4","0"
"740223016266","1957126","","","","","1107813","","2124000","6499","","","","6499","","6499","-990.4285714","","0","1","1","CRDTCARD","-2942.8","","0.001032715","","6","1","1","3","9","1","7","1","1","10","9","0"
"740224135275","8308506","","","","","","","160800","","","","","","","","","","0","","","","-2035.25","4130","","","2","","","1","3","","2","","","3","3","1"
"740225135357","1957564","","","","","","","","0","","","","","","","","","0","","","","","","","","1","","","","","","","","","","","1"
"740227016722","943136","","","3","","","","228000","4255","","","","6502","","6502","-674","","0","1","","","-1160.5","400","","","3","","","3","6","1","3","1","","6","6","0"
"740227086173","1957823","","2","9","","2834447","","4412700","","","","","","","","-2073","","0","","","","-6753.666667","1578","","2","3","2","2","4","7","2","3","2","2","10","7","0"
"740227135588","66557","","","2","","2372616","","3351936","1080.166667","","","","19","","145.5","","","0","2","1","CRDTCARD","-2603.75","5987","3.14E-05","","5","","","2","8","","6","","","9","8","1"
"740228026121","12786008","","","","","","","","","","2","","","","","-1054.923077","","0","","","","-699.8","","","","","","1","2","2","1","","1","","2","2","0"
"740301075537","29686","","2","7","","1816280","2","2982000","0","2","2","","0","","0","-559.5384615","","0","","","CRDTCARD","","1816.6","0","5","2","1","1","2","5","1","3","1","1","3","5","2"
"740301085102","2580936","","","2","","142471","","730200","","","","","","","","-404.8571429","","0","","","","-2061.666667","2755.5","","","2","","2","4","7","2","3","2","","6","7","1"
"740301135894","18942306","","1","1","40800","1317941","","3347916","","","","","","","","-628.875","","0","","","","-1340.8","","","","1","1","1","1","6","1","5","1","1","4","6","1"
"740302016299","2582682","","","","","23769","","512583","","","","","","","","","","0","","","","-617.6","","","","2","1","","1","5","","4","","1","5","4","0"
"740302086676","12710880","","","","","635929","","1046400","","","","","","","","","","0","","","","-483","","","","2","1","","","2","","2","","1","3","2","1"
"740303015757","9949363","","","","","","","","0","","","","","","","","","0","","","","-998","626","","","1","","","1","1","","","","","1","1","0"
"740303025357","29676","","","3","","1813984","","2400000","","","","","","","","","","0","","","","-4784.6","","","","2","1","","5","6","","3","","1","8","6","2"
"740305085708","1958761","","2","3","","138821","","3090000","","","","","","","","","","0","","","","-23955.75","25864","","","4","1","","2","7","","5","","1","7","7","0"
"740306086454","1958920","","","","","","","10000","","","","","","","","","","0","","","","","","","","1","","","","1","","1","","","","1","2"
"740309065093","1959355","","","","","","","4200000","","","","","","","","","","0","","","","-3372.333333","3848","","","3","","","1","3","","3","","","4","3","1"
"740312085415","6683575","","","","","","1","750000","0","","","","0","","0","","","0","","","CRDTCARD","","","","","2","","","","1","","1","","","","1","2"
"740312105412","1959904","","","","","","","276000","","","","","","","","-1158.695652","","0","","","","-1723.333333","1714.5","","","2","","1","1","4","1","3","1","","5","4","0"
"740313025879","1959971","","2","8","7590","","","","","","","825317","16780","31036","","-904.0714286","","21","7","4","PCPASCAR","-1144.25","101","0.062393251","","","","1","15","12","1","","1","","15","8","2"
"740317026115","1960596","","3","5","46200","513095","","1203407","","","1","","9318","","9689","-490.7142857","","0","1","1","OTLNFNCE","-1755.6","","0.012809215","","2","2","1","2","10","1","8","1","2","10","9","7"
"740319055024","2570592","","","8","","1189075","","1866000","","","","187","","","","-304.15","","3","2","","","-8955.666667","4457.5","","1","5","1","1","5","9","1","7","1","1","13","9","0"
"740321145651","2572706","","","2","","","","36000","","","","","","","","","","0","","","","-851.6","","","","1","","1","3","4","1","1","1","","3","4","2"
"740322075579","10813517","","","","","","","659600","","","","","","","","","","0","","","","-15164","6291.5","","","3","","1","3","5","1","2","1","","5","4","1"
"740322085347","1961453","","7","8","679927","","","720000","","","","","","","","-2233","","0","","","","-4891","16099","","","2","","1","3","5","1","2","1","","5","4","2"
"740323115229","2590678","","","2","","79501","1","800787","299.4166667","","","","0","","598.8333333","","","0","","","CRDTCARD","-1053.2","","0.017814281","","2","2","","","6","","6","","1","4","6","2"
"740324135504","15812322","","","","","1326625","","2710416","","","","","","","","-976","","0","","","","-2445.4","","","","2","1","","1","4","","4","1","1","5","4","0"
"740325125295","8875757","","","3","","","","","2038","","1","10951460","70013","92722","","-2507.769231","","24","4","2","PCPASCAR","-1639.666667","443","0.031335404","","2","","2","3","3","2","","2","","5","3","2"
"740326105886","8856715","","5","15","65400","1899772","","2412600","","2","1","","","","","-2872.714286","","0","","","","-18443","1435","","5","2","3","2","2","6","2","4","2","3","8","6","4"
"740326135321","944999","","1","1","67000","2356277","","2883000","","","","","","","","","","0","","","","-1154.5","29372","","1","","4","","","4","","4","","3","5","4","2"
"740327145441","1962332","","7","11","54800","811549","1","874000","","","","103237","","","","-877.1875","","1","","","","-2206.5","53132","","2","","2","1","2","4","1","2","1","2","3","4","9"
"740401025692","26489501","","","","","7038","","10824","","","","","","","","-255.3529412","","0","","","","-339.5","","","","","","1","2","3","1","1","1","","2","3","2"
"740403025522","13896454","","","","","568208","","666036","","","","","","","","","","0","","","","-674.6","","","","1","","","1","3","","2","","","3","3","0"
"740404035773","1963466","","4","9","119100","3420178","","4302000","","","1","","131505","","132448.5","-1204.090909","","0","1","1","PELNFNCE","-3253.2","","0.01601207","","1","3","1","2","6","1","4","2","3","9","5","1"
"740406045262","10989828","","","","","","","","","","","152540","1862","2853","","-1047.230769","","17","1","1","PCPASCAR","-995.5","7","0.03289615","","","","1","1","1","1","","1","","1","1","0"
"740408145208","945977","","4","5","7000","1932943","","2976000","","1","","","","","","","","0","","","","-2175.666667","4173.5","","1","2","2","1","5","8","1","5","1","2","9","7","0"
"740408715004","8532888","","","9","","","","600000","26","","","85765","26","","26","","","1","2","","","-7563.666667","14677","","","3","","1","5","8","1","3","1","","7","8","1"
"740409075563","2585000","","","","","557196","","1074468","","","","","","","","-1299.73913","","0","","","","-2114.2","","","3","1","1","2","3","5","2","2","2","1","5","5","0"
"740409085964","6731238","","1","4","6000","","1","144000","","","","0","0","0","","","","24","","","PCPASCAR","-963","91","0","","1","","1","3","3","1","1","2","","2","3","0"
"740409136012","25162295","","1","2","","817654","","864000","","1","","","","","","","","0","","","","-459.5","442","","1","","1","","","1","","1","","1","1","1","0"
"740410145477","1964514","","","","","","","888000","49381.88889","","","532150","47757","","49486","","","1","2","1","CRDTCARD","-732","4951.333333","0.010493063","","4","","","1","4","","3","","","5","4","1"
"740413135258","14199643","","1","3","","","","","","","","","","","","-867.4166667","","0","","","","-2539","","","","","","1","4","4","1","","1","","4","4","1"
"740414025966","9183373","","1","2","8700","","","","","","1","45732","45732","","","-394.5","","1","1","","","-470","275","","","","","1","1","1","1","","1","","1","1","1"
"740414065140","21853839","","","3","","1115921","","1272574","","","","","","","","-30125.5","","0","","","","-2027.333333","642","","","1","1","","3","4","","3","1","1","5","3","0"
"740415015022","1965182","","","","","","","","","","","0","","","","","","4","","","","","","","","","","","1","","","","1","","","","1"
"740416095028","13421932","","2","2","19350","","","234000","","","","","","","","-337","","0","","","","-1586.2","","","","2","","1","4","6","1","2","1","","6","6","3"
"740417085673","1965574","","1","1","54000","","","105600","","","1","","","","","-656.8333333","","0","","","","-609.5","81","","","2","","1","3","4","1","2","2","","4","4","1"
"740417105419","2586706","","","1","","","","","","","","0","","","","","","11","","","","","","","","","","","1","","","","1","","","","1"
"740418026456","19074465","","","","","796271","","1080000","","","","","","","","","","0","","","","-582.8","","","","","2","","","2","","2","","2","2","2","2"
"740422075699","7194604","","2","4","50000","","","1312800","","","1","","","","","-7095.235294","","0","","","","-8660.75","69","","","4","","2","7","11","2","4","2","","11","10","1"
"740424025839","8305437","","","7","","2980268","","3000000","","","","","","","","-626.1764706","","0","","","","-1842","","","1","","2","1","2","3","1","2","2","2","3","3","2"
"740424045549","947091","","","","","1746421","","3667752","","","","","","","","-3129.722222","","0","","","","-14659","13420.5","","","1","","2","4","6","2","2","2","","6","6","2"
"740425055183","2578459","","","","","","","264000","66685","","1","182812","","","","-3555.705882","","2","3","","","-3139.5","506","","","2","","2","4","3","2","1","3","","6","3","1"
"740429035227","7150031","","1","5","70700","","","312000","","","1","13398","","","","-2400.571429","","1","1","","","-1095","72","","","3","","1","3","5","1","3","2","","6","5","3"
"740505085649","9474465","","","","","","","","","","","0","","","","","","3","","","","","","","","","","","1","","","","1","","","","0"
"740505145058","1968432","","6","6","564484","","","84000","6999","","","0","0","","","","","14","1","","","-544.25","1224","","","1","","1","1","2","1","1","1","","1","2","5"
"740507065684","1968683","","1","2","","4521594","","11286000","","","","","","","","","","0","","","","-5994.75","29075","","1","2","1","","4","8","","5","","1","9","8","2"
"740507125165","1968761","","","","","2686622","1","4080192","43951.57143","2","2","3987507","136107","100524","189918.25","-2367.363636","","17","9","4","OTLNFNCE","-3527.666667","1113.5","0.085067172","1","3","2","2","5","10","2","6","2","2","11","9","2"
"740509075405","948138","","","","","0","","924000","16428.66667","","","","","","","","","0","1","","","-2458","2991.5","","","3","1","","1","5","","4","","1","5","5","0"
"740511085573","1969377","","3","3","63000","52","","1356","0","","1","","","","","-718.4375","","0","","","","-833.3333333","23302.5","","","1","","1","3","4","2","1","2","","4","3","1"
"740511125790","12996571","","3","5","300000","2566575","","3192000","","1","","106473","","","","-3181.529412","","2","1","","","-2400.333333","29997","","2","1","3","1","2","6","1","4","1","3","6","6","1"
"740512026081","9172505","","","","","671680","","2292000","","","","","","","","","","0","","","","-2339.25","821","","","1","2","","","3","","3","","2","3","3","1"
"740512075588","15987575","","2","3","","","","780000","","","","","","","","-899.9230769","","0","","","","-1950.75","2110","","","4","","1","2","6","1","4","1","","6","6","1"
"740514125753","14297845","","","","","4805294","","6907236","","","","957679","191588","","","","","5","3","1","HSLNFNCE","-3034","","0.013199111","","","3","","2","5","","3","1","3","5","4","0"
"740515135291","19728594","","","","","","","60000","","","","","","","","-955.8666667","","0","","","","-1299.25","157","","","1","","1","1","2","1","1","1","","2","2","1"
"740516035209","10345856","","","","","","","","","","","","","","","-2039.75","","0","","","","-3","","","","1","","","2","1","","","1","","2","1","0"
"740516105254","207338","","","","","","","","","","","46278","","","","-3704.25","","5","1","","","","","","","","","","1","","","","1","","1","","0"
